S.No.,Application Number,Application Type,Institute Name,Inst Address,Inst Address 2,CITY,District,Pincode,Minority Institute,Womens institute,State,Region,Inst Type,Program,Course,Level,Specialization,Intake,Approval
,1-17707261,New Institute,COLLEGE OF ENGINEERING VAIRAG,At/p- Sasure- Vairag On Solapur Barshi State HighWay Tal-Barshi Dist-Solapur pin-413 402   Maharashtra,,Vairag,Solapur,413 402,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics and Telecommunication Engineering,60,No
,1-17707261,New Institute,COLLEGE OF ENGINEERING VAIRAG,At/p- Sasure- Vairag On Solapur Barshi State HighWay Tal-Barshi Dist-Solapur pin-413 402   Maharashtra,,Vairag,Solapur,413 402,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-17707261,New Institute,COLLEGE OF ENGINEERING VAIRAG,At/p- Sasure- Vairag On Solapur Barshi State HighWay Tal-Barshi Dist-Solapur pin-413 402   Maharashtra,,Vairag,Solapur,413 402,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science&Engineering,60,No
149,1-1542611,New Institute,Dattajirao Kadam Technical Education Society's Institute of Management,"Kalawant Mala, Near Adinath Housing Society,","Sangli Road, Ichalkaranji",Ichalkaranji,Kolhapur,416115,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master of Business Administration (Textile),60,No
,1-1542611,New Institute,Dattajirao Kadam Technical Education Society's Institute of Management,"Kalawant Mala, Near Adinath Housing Society,","Sangli Road, Ichalkaranji",Ichalkaranji,Kolhapur,416115,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master of Business Administration,60,No
150,1-5491893,New Institute,Dhareshwar Institute of Management,"S. No. 48, Dhayari, Tal. Haveli, Pune",,,Pune,411041,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,120,No
151,1-3278823,New Institute,Durgadevi Saraf Institute of Management Studies,"23-A, 24-28, S.V.Road, Malad (W),",Mumbai 400064,Mumbai,Mumbai,400064,Y,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master of Management Studies,120,No
152,1-3103761,New Institute,GOBBI INSTITUTE OF MANAGEMENT,TIKONDI - KAGANAR ROAD,,Tikondi Tal- Jath,SANGLI,416412,Y,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,120,No
153,1-3483261,New Institute,INDUS BUSINESS SCHOOL,"S.NO. 114/1/3 ,WAKAD","WAKAD MARUNJE ROAD, OFF MUMBAI-BANGALORE HIGHWAY",PUNE,PUNE,411057,,,Maharashtra,Western,Unaided - Private,Management,Master in Business Admin,Post Graduate,Finance Marketing HR,120,No
,1-3483261,New Institute,INDUS BUSINESS SCHOOL,"S.NO. 114/1/3 ,WAKAD","WAKAD MARUNJE ROAD, OFF MUMBAI-BANGALORE HIGHWAY",PUNE,PUNE,411057,,,Maharashtra,Western,Unaided - Private,Management,PG Diploma in Management,Post Graduate,"Finance,Marketing,HR",120,No
154,1-6840181,New Institute,"INSTITUTE FOR FUTURE EDUCATION, ENTREPRENEURSHIP AND LEADERSHIP","GAT NO. 178, VILLAGE KARLA",TALUKA MAVAL,,PUNE,410405,,,Maharashtra,Western,Unaided-Private,Management,PG Diploma in Management,Post Graduate,PG Diploma in Management,60,No
155,1-5838003,New Institute,Institute of Management and Science,"NH No. 6, Sakegaon, Tal. Bhusawal, Dist. Jalgaon",-,Sakegaon,Jalgaon,425201,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,60,No
156,1-6983761,New Institute,"Institute of Technical Education, Research and Management","Sectro No.28, PCNTDA,",Akurdi,"Akurdi, Pune",Pune,411044,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,"FINANCE, H.R.,I.T.,",120,No
157,1-3287311,New Institute,JAIHIND COLLEGE OF ENGINEERING,"G. NO. 441, KURAN",,PUNE,PUNE,410511,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,B. E. (ELECTRICAL ENGG.),60,No
,1-3287311,New Institute,JAIHIND COLLEGE OF ENGINEERING,"G. NO. 441, KURAN",,PUNE,PUNE,410511,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,B. E. (COMPUTER ENGG.),60,No
,1-3287311,New Institute,JAIHIND COLLEGE OF ENGINEERING,"G. NO. 441, KURAN",,PUNE,PUNE,410511,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,B. E. (MECHANICAL ENGG.),60,No
,1-3287311,New Institute,JAIHIND COLLEGE OF ENGINEERING,"G. NO. 441, KURAN",,PUNE,PUNE,410511,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,B. E. (ELECTRONICS & TELECOMMUNICATION ENGG.),60,No
,1-3287311,New Institute,JAIHIND COLLEGE OF ENGINEERING,"G. NO. 441, KURAN",,PUNE,PUNE,410511,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,B. E. CIVIL ENGG.),60,No
158,1-5774831,New Institute,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,MOLGI ROAD,NEAR AMLIBARI FATA,AKKALKUWA,NANDURBAR,425415,Y,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,120,No
,1-5774831,New Institute,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,MOLGI ROAD,NEAR AMLIBARI FATA,AKKALKUWA,NANDURBAR,425415,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,No
,1-5774831,New Institute,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,MOLGI ROAD,NEAR AMLIBARI FATA,AKKALKUWA,NANDURBAR,425415,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering,60,No
,1-5774831,New Institute,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,MOLGI ROAD,NEAR AMLIBARI FATA,AKKALKUWA,NANDURBAR,425415,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-5774831,New Institute,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,MOLGI ROAD,NEAR AMLIBARI FATA,AKKALKUWA,NANDURBAR,425415,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer  Engineering,60,No
,1-5774831,New Institute,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,MOLGI ROAD,NEAR AMLIBARI FATA,AKKALKUWA,NANDURBAR,425415,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics and Telecommunication,60,No
159,1-10998561,New Institute,"LEELAVATI AWHAD INSTITUTE OF TECHNOLOGY, MANAGEMENT STUDIES & RESEARCH","KANHOR, BADLAPUR (WEST)",SAME AS ABOVE,BADLAPUR (WEST),THANE,421504,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Engineering,60,No
,1-10998561,New Institute,"LEELAVATI AWHAD INSTITUTE OF TECHNOLOGY, MANAGEMENT STUDIES & RESEARCH","KANHOR, BADLAPUR (WEST)",SAME AS ABOVE,BADLAPUR (WEST),THANE,421504,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-10998561,New Institute,"LEELAVATI AWHAD INSTITUTE OF TECHNOLOGY, MANAGEMENT STUDIES & RESEARCH","KANHOR, BADLAPUR (WEST)",SAME AS ABOVE,BADLAPUR (WEST),THANE,421504,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,Electronics and Telecommunication Engineering,120,No
,1-10998561,New Institute,"LEELAVATI AWHAD INSTITUTE OF TECHNOLOGY, MANAGEMENT STUDIES & RESEARCH","KANHOR, BADLAPUR (WEST)",SAME AS ABOVE,BADLAPUR (WEST),THANE,421504,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electronics Engineering,60,No
160,1-4259511,New Institute,Lexicon Global Business School,"Gut no 726, Wagholi",Pune - Nagar Road,Pune,Pune,412207,Y,,Maharashtra,Western,Unaided - Private,Management,PG Diploma in Management,Post Graduate,PGDM,120,No
161,1-4288101,New Institute,Mulshi Institute of Business Management-PGDM,Post- Sambhave Mulshi,,Pune,Pune,412108,,,Maharashtra,Western,Unaided - Private,Management,PG Diploma in Management,Post Graduate,PGDM,60,No
162,1-6762411,New Institute,NATIONAL INSURANCE ACADEMY,"25, BALEWADI, BANER ROAD
N.I.A. P.O.",PUNE,PUNE,PUNE,411045,,,Maharashtra,Western,Unaided-Private,Management,PG Diploma in Management,Post Graduate,Post Graduate Diploma in Management / Insurance,120,No
163,1-3850221,New Institute,PICT School of Technology and Management,"Survey No 7, Hissa No 54-B",Mhalunge,Pune,Pune,411045,,,Maharashtra,Western,Unaided-Private,Management,PG Diploma in Management,Post Graduate,PG Diploma in Management,60,No
164,1-3562421,New Institute,Revera School of Business Management,"
At: Hatane  Po: Bandhan  Tal: Vikramgad
Dist: Thane",NearMumbai- Ahmdabad  Highway,New Delhi,Thane,401403,,,Maharashtra,Western,Unaided - Private,Management,PG Diploma in Management,Post Graduate,PGDM,120,No
165,1-21641511,New Institute,SADHU VASWANI INSTITUTE OF MANAGEMENT STUDIES FOR GIRLS,"6 KOREGAON ROAD
PUNE",,PUNE,PUNE,411001,Y,Y,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master in Business Administartion,60,No
166,1-3119311,New Institute,Sankalp Business School,"S. No. 9/1/1, Ambegaon (Bk). Pune",,Pune,Pune,411041,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,,120,No
167,1-6806761,New Institute,Sant Dnyaneshwar institute of Management and Business Administration,"Bhanashiware, newasa Phata, Taluka Newasa,district Ahmednagar","Bhanashiware, Newasa Phata,Taluka Newasa, District Ahmednagar",Ahmednagar,Ahmednagar,414603,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,"H.R.,Marketing, Systems, Finance,",120,No
168,1-5347931,New Institute,Sant Gajanan Maharaj College of Pharmacy,"Site - Chinchewadi, Tal. Mahagaon",Tal Gadhinglaj,Gadhinglaj,Kolhapur,416503,,,Maharashtra,Western,Unaided-Private,Pharmacy,Pharmacy,Graduate,Sant Gajanan Maharaj College of Pharmacy,120,No
169,1-1559921,New Institute,Shashwat Institute of Business Management,"Gat No. 512, Katarkhadak, Tal. Mulshi, Dist. Pune - 411042",,Pune,Pune,411042,,,Maharashtra,Western,Unaided-Private,Management,PG Diploma in Management,Post Graduate,Post Graduate Dilpoma in Management,120,No
170,1-4352141,New Institute,Shri B S P M's B Pharmacy College,"RING ROAD, AMBAJOGAI","RING ROAD, AMBAJOGAI",AMBAJOGAI,BEED,431517,,,Maharashtra,Western,Unaided - Private,Pharmacy,Pharmacy,Graduate,B.PHARMACY,60,No
171,1-3929271,New Institute,Shri Shivaji Institute of Engineering and Management Studies,Vasmat Road,Parbhani,Parbhani,Parbhani,431401,,,Maharashtra,Western,Unaided - Private,Management,Master in Business Admin,Post Graduate,Master in Business Administration,120,No
,1-3929271,New Institute,Shri Shivaji Institute of Engineering and Management Studies,Vasmat Road,Parbhani,Parbhani,Parbhani,431401,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-3929271,New Institute,Shri Shivaji Institute of Engineering and Management Studies,Vasmat Road,Parbhani,Parbhani,Parbhani,431401,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering,60,No
,1-3929271,New Institute,Shri Shivaji Institute of Engineering and Management Studies,Vasmat Road,Parbhani,Parbhani,Parbhani,431401,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Electrical & Communication,Graduate,Electronics and Telecommunication Engineering,60,No
,1-3929271,New Institute,Shri Shivaji Institute of Engineering and Management Studies,Vasmat Road,Parbhani,Parbhani,Parbhani,431401,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science and Engineering,60,No
,1-3929271,New Institute,Shri Shivaji Institute of Engineering and Management Studies,Vasmat Road,Parbhani,Parbhani,Parbhani,431401,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,No
172,1-7029521,New Institute,SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY CENTRE,"AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA","AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA",AKLUJ,SOLAPUR,413113,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Technical Education,60,No
,1-7029521,New Institute,SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY CENTRE,"AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA","AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA",AKLUJ,SOLAPUR,413113,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Technical Education,60,No
,1-7029521,New Institute,SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY CENTRE,"AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA","AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA",AKLUJ,SOLAPUR,413113,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Technical Education,60,No
,1-7029521,New Institute,SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY CENTRE,"AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA","AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA",AKLUJ,SOLAPUR,413113,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Technical Education,60,No
,1-7029521,New Institute,SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY CENTRE,"AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA","AT/P-PANIV, TAL-MALSHIRAS, DIST-SOLAPUR, STATE- MAHARASHTRA",AKLUJ,SOLAPUR,413113,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Information Technology,Graduate,Technical Education,60,No
173,1-11741041,New Institute,TMV Institute of Hotel Management & Catering Technology,"Vidyapeeth Campus, Gultekdi, Mukundnagar",,Pune,Pune,411037,,,Maharashtra,Western,Unaided-Private,Hotel Management & Catering,Hotel Management & Catering,Graduate,BHMCT,60,No
174,1-3101711,New Institute,Universal College of Engineering & Research,"Gat No. 430, Sasewadi, Taluka - Bhor,","Gat No. 430, Sasewadi, Taluka - Bhor,",Pune,Pune,412205,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,B. E. (Electronics & T/C Engineering),60,No
,1-3101711,New Institute,Universal College of Engineering & Research,"Gat No. 430, Sasewadi, Taluka - Bhor,","Gat No. 430, Sasewadi, Taluka - Bhor,",Pune,Pune,412205,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,B. E. (Computer Engineering),60,No
,1-3101711,New Institute,Universal College of Engineering & Research,"Gat No. 430, Sasewadi, Taluka - Bhor,","Gat No. 430, Sasewadi, Taluka - Bhor,",Pune,Pune,412205,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,B. E. (Electrical Engineering),60,No
,1-3101711,New Institute,Universal College of Engineering & Research,"Gat No. 430, Sasewadi, Taluka - Bhor,","Gat No. 430, Sasewadi, Taluka - Bhor,",Pune,Pune,412205,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,B. E. (Mechanical Engineering),60,No
,1-3101711,New Institute,Universal College of Engineering & Research,"Gat No. 430, Sasewadi, Taluka - Bhor,","Gat No. 430, Sasewadi, Taluka - Bhor,",Pune,Pune,412205,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,B. E. (Civil Engineering),60,No
175,1-4565811,New Institute,Vidya Niketan Institute Of Engineering And  Technology,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur (MS)",,,Nagpur,440023,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics and Communication Engineering,60,No
,1-4565811,New Institute,Vidya Niketan Institute Of Engineering And  Technology,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur (MS)",,,Nagpur,440023,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer science & Engineering,60,No
,1-4565811,New Institute,Vidya Niketan Institute Of Engineering And  Technology,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur (MS)",,,Nagpur,440023,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering,60,No
,1-4565811,New Institute,Vidya Niketan Institute Of Engineering And  Technology,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur (MS)",,,Nagpur,440023,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-4565811,New Institute,Vidya Niketan Institute Of Engineering And  Technology,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur (MS)",,,Nagpur,440023,Y,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,No
176,1-20530371,New Institute,Vilasrao Deshmukh Foundation Group of Institutions,"Additional MIDC Area, Plot 165A,","Near to Manjara Sugar, Latur",Latur,Latur,413531,,,Maharashtra,Western,Unaided-Private,Pharmacy,Pharmacy,Graduate,Pharmacy,60,No
,1-20530371,New Institute,Vilasrao Deshmukh Foundation Group of Institutions,"Additional MIDC Area, Plot 165A,","Near to Manjara Sugar, Latur",Latur,Latur,413531,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Engineering,60,No
,1-20530371,New Institute,Vilasrao Deshmukh Foundation Group of Institutions,"Additional MIDC Area, Plot 165A,","Near to Manjara Sugar, Latur",Latur,Latur,413531,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics & Telecommunication,60,No
,1-20530371,New Institute,Vilasrao Deshmukh Foundation Group of Institutions,"Additional MIDC Area, Plot 165A,","Near to Manjara Sugar, Latur",Latur,Latur,413531,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-20530371,New Institute,Vilasrao Deshmukh Foundation Group of Institutions,"Additional MIDC Area, Plot 165A,","Near to Manjara Sugar, Latur",Latur,Latur,413531,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,No
177,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Management,Master in Business Admin,Post Graduate,MBA,120,No
,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,No
,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Electrical & Communication,Graduate,E & TC,60,No
,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EE,60,No
,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Computer Science & Engineering,Graduate,CS,60,No
,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Engineering & Technology,Civil Engineering,Graduate,CE,60,No
,1-3978221,New Institute,Adsuls Group Of Institutions,"At & Post Chass, Tal & Dist. Ahmednagar","Chass-Nimbalak Road, At & Post. Chass, Tal. & Dist. Ahmedagar.",Ahmednagar,Ahmednagar,414001,,,Maharashtra,Western,Unaided - Private,Architacture & Town Planning,Architecture,Graduate,AR,80,No
178,1-2055481,New Institute,ARIHANT INSTITUTE OF BUSINESS MANAGEMENT,"S.NO. 276/1, 276/2, 277/1, 277/2, 278/2","BAWDHAN (BK.), TEHSIL-MULSHI, DIST.-PUNE",PUNE,PUNE,411021,Y,N,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,MASTER IN BUSINESS ADMINISTRATION,120,No
179,1-6543583,New Institute,"Balaghat Eengineering College,Ruddha","Latur - Nanded Highway, Rudha, Ahmedpur, Taluka - Ahmedpur,Dist-Latur (M.S.)","Latur-Nanded Highway, Rudha, Ahmedpur, District - Latur",Ahmedpur,Latur,413515,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,B. E. (Electrical),60,No
,1-6543583,New Institute,"Balaghat Eengineering College,Ruddha","Latur - Nanded Highway, Rudha, Ahmedpur, Taluka - Ahmedpur,Dist-Latur (M.S.)","Latur-Nanded Highway, Rudha, Ahmedpur, District - Latur",Ahmedpur,Latur,413515,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,B. E. (E & T/C),60,No
,1-6543583,New Institute,"Balaghat Eengineering College,Ruddha","Latur - Nanded Highway, Rudha, Ahmedpur, Taluka - Ahmedpur,Dist-Latur (M.S.)","Latur-Nanded Highway, Rudha, Ahmedpur, District - Latur",Ahmedpur,Latur,413515,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,B. E. (Conputer),60,No
,1-6543583,New Institute,"Balaghat Eengineering College,Ruddha","Latur - Nanded Highway, Rudha, Ahmedpur, Taluka - Ahmedpur,Dist-Latur (M.S.)","Latur-Nanded Highway, Rudha, Ahmedpur, District - Latur",Ahmedpur,Latur,413515,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,B. E. (Civil),60,No
,1-6543583,New Institute,"Balaghat Eengineering College,Ruddha","Latur - Nanded Highway, Rudha, Ahmedpur, Taluka - Ahmedpur,Dist-Latur (M.S.)","Latur-Nanded Highway, Rudha, Ahmedpur, District - Latur",Ahmedpur,Latur,413515,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,B. E. (Mechanical),60,No
180,1-4291441,New Institute,Camp Education Society's Institute of Management,Sector No - 27 / A,Pradhikaran Nigdi,Pune,Pune,411044,N,,Maharashtra,Western,Unaided - Private,Management,Master in Business Admin,Post Graduate,"Marketing,Financial,Computer,Human Resource",60,No
181,1-10217584,New Institute,Cummins College of Engineering For Women,"Mouje Sukhali (Gupchup), Tal. Hingna",Hingna,Nagpur,NAgpur,441110,,Y,Maharashtra,Western,Unaided-Private,Engineering & Technology,Information Technology,Graduate,Information Technology,60,No
,1-10217584,New Institute,Cummins College of Engineering For Women,"Mouje Sukhali (Gupchup), Tal. Hingna",Hingna,Nagpur,NAgpur,441110,,Y,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-10217584,New Institute,Cummins College of Engineering For Women,"Mouje Sukhali (Gupchup), Tal. Hingna",Hingna,Nagpur,NAgpur,441110,,Y,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electronics & Telecommunication,60,No
,1-10217584,New Institute,Cummins College of Engineering For Women,"Mouje Sukhali (Gupchup), Tal. Hingna",Hingna,Nagpur,NAgpur,441110,,Y,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Engineering,60,No
182,1-5986711,New Institute,Dattakala Group Of Institutions,"Gat No. 541/2, 527 off.Pune-Solapur Highway No. 9, A/P-Swami-Chincholi, Tahsil - Daund, Dist-Pune Pin-413130",,Daund,Pune,413130,,,Maharashtra,Western,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master in Business Administration,120,No
,1-5986711,New Institute,Dattakala Group Of Institutions,"Gat No. 541/2, 527 off.Pune-Solapur Highway No. 9, A/P-Swami-Chincholi, Tahsil - Daund, Dist-Pune Pin-413130",,Daund,Pune,413130,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,No
,1-5986711,New Institute,Dattakala Group Of Institutions,"Gat No. 541/2, 527 off.Pune-Solapur Highway No. 9, A/P-Swami-Chincholi, Tahsil - Daund, Dist-Pune Pin-413130",,Daund,Pune,413130,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics & Telecommunication,60,No
,1-5986711,New Institute,Dattakala Group Of Institutions,"Gat No. 541/2, 527 off.Pune-Solapur Highway No. 9, A/P-Swami-Chincholi, Tahsil - Daund, Dist-Pune Pin-413130",,Daund,Pune,413130,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering,60,No
,1-5986711,New Institute,Dattakala Group Of Institutions,"Gat No. 541/2, 527 off.Pune-Solapur Highway No. 9, A/P-Swami-Chincholi, Tahsil - Daund, Dist-Pune Pin-413130",,Daund,Pune,413130,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Engineering,60,No
,1-5986711,New Institute,Dattakala Group Of Institutions,"Gat No. 541/2, 527 off.Pune-Solapur Highway No. 9, A/P-Swami-Chincholi, Tahsil - Daund, Dist-Pune Pin-413130",,Daund,Pune,413130,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,No
183,1-8363021,New Institute,Dhananjay Mahadik Group of Institutions,"Gat. No.-209/A,NH-4,Vikaswadi,Kagal.","Vikaswadi,Kagal.","Vikaswadi,Kagal.",Kolhapur,416216,,,Maharashtra,Western,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,Electronics & Tele Communication Engineering,60,No
